property_id,region_id,property_type,size_m2,rooms,year_built,has_parking
P00663,R04,Apartment,216,1,1990,1
P00664,R03,Penthouse,213,4,1983,1
P00665,R05,Detached House,78,1,2021,1
P00666,R03,Penthouse,91,5,1998,0
P00667,R01,Penthouse,180,3,2000,1
P00668,R05,Apartment,238,5,1970,0
P00669,R02,Apartment,88,1,1994,1
P00670,R04,Apartment,92,2,2006,0
P00671,R06,Apartment,233,3,1996,1
P00672,R06,Apartment,207,1,2003,1
P00673,R03,Detached House,256,1,2013,1
P00674,R05,Penthouse,228,2,1971,1
P00675,R04,Detached House,268,4,2018,1
P00676,R03,Detached House,85,4,2014,1
P00677,R01,Penthouse,105,1,1992,1
P00678,R03,Penthouse,97,1,2011,0
P00679,R04,Detached House,53,4,1973,1
P00680,R06,Detached House,226,2,1986,0
P00681,R01,Penthouse,198,4,1975,1
P00682,R05,Apartment,60,2,2004,1
P00683,R06,Penthouse,87,2,2016,0
P00684,R06,Duplex,85,2,2002,1
P00685,R03,Detached House,136,2,2008,1
P00686,R01,Apartment,149,4,1977,1
P00687,R02,Studio,109,3,2020,1
P00688,R06,Apartment,263,4,1980,1
P00689,R06,Apartment,91,1,1998,1
P00690,R04,Apartment,174,3,2006,0
P00691,R01,Duplex,145,3,2016,0
P00692,R01,Duplex,133,5,2020,1
P00693,R03,Penthouse,238,3,2002,0
P00694,R04,Studio,274,1,2001,0
P00695,R01,Studio,41,4,1992,0
P00696,R05,Studio,151,1,2000,0
P00697,R04,Penthouse,68,5,2006,1
P00698,R01,Duplex,144,2,2004,0
P00699,R01,Studio,188,4,2001,0
P00700,R03,Apartment,138,4,1993,1
P00701,R05,Detached House,114,3,1980,1
P00702,R05,Duplex,114,3,1972,0
P00703,R03,Penthouse,111,1,1992,1
P00704,R02,Detached House,118,1,1991,0
P00705,R06,Duplex,129,4,2002,1
P00706,R03,Studio,205,5,2018,0
P00707,R02,Penthouse,63,5,2007,1
P00708,R03,Penthouse,49,2,2013,0
P00709,R01,Apartment,164,2,2001,1
P00710,R02,Detached House,203,2,2020,0
P00711,R04,Penthouse,102,4,2020,1
P00712,R06,Duplex,88,4,1978,1
P00713,R05,Detached House,189,4,2004,0
P00714,R05,Apartment,132,5,1997,1
P00715,R04,Penthouse,216,2,2022,0
P00716,R01,Duplex,75,4,2001,0
P00717,R03,Penthouse,69,3,1970,0
P00718,R06,Detached House,172,5,1981,0
P00719,R01,Studio,134,2,1976,0
P00720,R06,Studio,215,1,1980,1
P00721,R05,Detached House,161,2,1975,1
P00722,R02,Duplex,125,4,2012,1
P00723,R05,Penthouse,78,5,1996,1
P00724,R06,Apartment,79,5,2006,1
P00725,R01,Penthouse,221,1,2023,0
P00726,R01,Duplex,94,3,2004,1
P00727,R04,Detached House,160,1,1995,1
P00728,R06,Penthouse,236,2,1984,0
P00729,R01,Studio,255,5,2010,1
P00730,R04,Studio,104,5,1997,1
P00731,R01,Duplex,66,1,2010,1
P00732,R04,Apartment,225,1,1971,1
P00733,R04,Penthouse,204,4,1978,0
P00734,R01,Penthouse,119,3,1977,1
P00735,R05,Apartment,182,3,2006,0
P00736,R06,Studio,85,5,1997,0
P00737,R06,Apartment,208,5,1987,1
P00738,R01,Penthouse,214,5,1986,0
P00739,R02,Detached House,111,4,2002,1
P00740,R02,Apartment,152,5,2022,1
P00741,R03,Duplex,120,4,2023,1
P00742,R01,Detached House,47,5,1995,1
P00743,R06,Detached House,70,3,2006,1
P00744,R05,Duplex,270,1,1974,1
P00745,R05,Duplex,149,5,2021,1
P00746,R02,Apartment,75,5,1970,1
P00747,R01,Detached House,50,2,1988,1
P00748,R06,Studio,124,3,2009,0
P00749,R02,Studio,275,3,2022,0
P00750,R04,Duplex,132,4,1979,0
P00751,R06,Penthouse,279,4,2005,1
P00752,R01,Apartment,157,2,1980,0
P00753,R01,Duplex,223,5,1972,1
P00754,R01,Apartment,228,5,1992,1
P00755,R01,Apartment,46,5,2001,1
P00756,R01,Studio,41,3,1984,1
P00757,R05,Studio,261,1,2022,1
P00758,R04,Apartment,263,5,2003,1
P00759,R06,Apartment,71,1,1993,1
P00760,R05,Penthouse,195,1,1996,0
P00761,R06,Detached House,261,2,1995,1
P00762,R02,Studio,268,1,1976,0
P00763,R02,Penthouse,111,4,2002,0
P00764,R06,Penthouse,236,3,2012,0
P00765,R02,Penthouse,195,2,1992,1
P00766,R01,Detached House,262,1,1992,1
P00767,R05,Detached House,75,2,2019,0
P00768,R05,Studio,184,4,2002,1
P00769,R06,Penthouse,45,4,1986,0
P00770,R06,Penthouse,125,2,1970,0
P00771,R01,Penthouse,42,1,2014,0
P00772,R05,Detached House,146,3,2003,0
P00773,R06,Duplex,234,4,2003,1
P00774,R05,Penthouse,197,1,1985,0
P00775,R05,Studio,116,4,1980,0
P00776,R06,Duplex,142,1,1996,0
P00777,R03,Duplex,128,2,2010,1
P00778,R01,Studio,215,4,1986,1
P00779,R03,Studio,103,1,1998,1
P00780,R02,Penthouse,62,2,2023,1
P00781,R01,Studio,161,1,1981,1
P00782,R01,Detached House,239,2,1982,0
P00783,R05,Studio,154,4,1982,0
P00784,R04,Apartment,89,2,2019,1
P00785,R04,Duplex,51,1,1998,0
P00786,R05,Detached House,266,2,2019,1
P00787,R04,Studio,222,1,2021,1
P00788,R04,Apartment,77,4,1992,0
P00789,R01,Apartment,57,5,1972,1
P00790,R06,Duplex,70,1,1986,0
P00791,R03,Duplex,130,4,1999,0
P00792,R01,Detached House,234,2,1990,1
P00793,R05,Apartment,78,1,1970,1
P00794,R05,Duplex,236,4,2023,0
P00795,R01,Duplex,40,2,1986,0
P00796,R02,Apartment,217,3,2003,0
P00797,R01,Studio,107,3,2021,0
P00798,R02,Detached House,270,3,1999,0
P00799,R01,Studio,154,1,2007,0
P00800,R05,Penthouse,104,2,1971,1
P00801,R04,Apartment,98,4,2007,1
P00802,R06,Detached House,238,5,2015,1
P00803,R05,Penthouse,136,1,2019,1
P00804,R04,Studio,124,3,1974,1
P00805,R04,Apartment,216,5,1982,1
P00806,R01,Duplex,168,2,1972,1
P00807,R01,Studio,199,3,2019,1
P00808,R04,Duplex,146,5,1984,1
P00809,R01,Duplex,55,5,1998,1
P00810,R01,Apartment,41,4,1995,1
P00811,R02,Apartment,49,4,2007,0
P00812,R06,Studio,177,4,2018,0
P00813,R03,Apartment,163,2,1987,1
P00814,R05,Apartment,219,5,2012,0
P00815,R03,Penthouse,254,1,1985,0
P00816,R02,Duplex,81,1,1980,0
P00817,R03,Studio,269,4,1975,0
P00818,R01,Penthouse,263,5,1990,1
P00819,R05,Apartment,187,5,2000,0
P00820,R02,Detached House,167,4,2012,0
P00821,R03,Studio,82,2,2015,1
P00822,R06,Apartment,82,2,1998,0
P00823,R04,Penthouse,44,3,1992,1
P00824,R03,Apartment,195,2,1979,1
P00825,R04,Detached House,143,3,2019,0
P00826,R05,Detached House,86,1,1991,1
P00827,R02,Studio,72,2,2011,0
P00828,R04,Duplex,55,5,2003,1
P00829,R06,Apartment,193,4,2020,1
P00830,R04,Studio,204,1,2022,1
P00831,R03,Studio,191,2,2008,0
P00832,R01,Duplex,66,2,2005,1
P00833,R02,Duplex,49,2,1977,1
P00834,R06,Apartment,65,4,1970,1
P00835,R04,Studio,220,5,1999,0
P00836,R02,Penthouse,217,4,2008,1
P00837,R03,Apartment,110,3,2010,0
P00838,R04,Detached House,53,1,1983,0
P00839,R04,Duplex,116,1,1997,1
P00840,R05,Penthouse,234,5,2016,1
P00841,R02,Detached House,74,4,1975,0
P00842,R04,Detached House,231,3,1990,1
P00843,R03,Duplex,151,3,2021,1
P00844,R06,Detached House,73,5,1980,1
P00845,R01,Apartment,264,5,1987,1
P00846,R01,Penthouse,164,1,1995,1
P00847,R03,Duplex,201,2,2007,1
P00848,R04,Apartment,63,1,1983,0
P00849,R05,Detached House,129,2,2012,0
P00850,R03,Penthouse,191,4,1982,1
P00851,R06,Apartment,194,2,1989,0
P00852,R03,Studio,55,1,2000,0
P00853,R01,Detached House,185,3,1970,1
P00854,R01,Apartment,266,3,2011,0
P00855,R06,Detached House,228,4,2006,0
P00856,R01,Duplex,89,1,2015,1
P00857,R06,Duplex,259,2,1984,0
P00858,R02,Penthouse,203,4,1991,1
P00859,R01,Penthouse,53,4,2018,0
P00860,R02,Duplex,70,5,1973,1
P00861,R04,Apartment,261,5,1996,0
P00862,R03,Studio,90,5,1996,1
P00863,R05,Studio,63,3,1994,0
P00864,R04,Studio,148,5,1993,0
P00865,R03,Detached House,166,3,2010,1
P00866,R04,Studio,177,5,1980,0
P00867,R06,Studio,198,2,2018,1
P00868,R03,Duplex,279,3,2018,0
P00869,R01,Apartment,222,4,1979,0
P00870,R03,Studio,46,2,2022,0
P00871,R06,Duplex,61,1,1984,1
P00872,R02,Detached House,40,5,1972,0
P00873,R06,Studio,134,3,1991,0
P00874,R04,Apartment,124,5,2012,1
P00875,R04,Studio,264,2,2015,0
P00876,R02,Studio,127,5,2004,1
P00877,R06,Apartment,47,4,2013,1
P00878,R01,Apartment,252,4,1984,1
P00879,R02,Studio,102,4,2017,1
P00880,R03,Detached House,259,2,2004,0
P00881,R03,Penthouse,225,5,1977,1
P00882,R03,Apartment,251,5,1976,1
P00883,R01,Duplex,236,4,1984,0
P00884,R02,Penthouse,74,5,1973,1
P00885,R01,Duplex,190,5,1985,1
P00886,R04,Apartment,138,4,2023,1
P00887,R03,Detached House,190,3,1982,0
P00888,R04,Studio,219,5,2004,1
P00889,R04,Studio,160,1,2022,1
P00890,R05,Studio,115,3,1983,1
P00891,R04,Duplex,259,5,2007,0
P00892,R04,Duplex,199,5,1994,0
P00893,R04,Apartment,252,2,1985,0
P00894,R04,Detached House,96,1,2021,0
P00895,R04,Duplex,241,2,2005,1
P00896,R02,Penthouse,117,5,1993,0
P00897,R02,Duplex,150,3,2013,0
P00898,R05,Penthouse,246,1,2018,1
P00899,R03,Apartment,125,1,2012,1
P00900,R04,Penthouse,100,2,2016,0
P00901,R02,Duplex,259,2,1987,1
P00902,R03,Studio,271,1,1988,0
P00903,R04,Apartment,114,3,1982,1
P00904,R04,Detached House,113,3,2007,0
P00905,R04,Duplex,94,1,2013,1
P00906,R03,Duplex,45,2,2005,1
P00907,R06,Studio,172,4,2002,0
P00908,R04,Apartment,101,5,2011,1
P00909,R05,Studio,243,5,1979,0
P00910,R05,Duplex,81,3,1989,1
P00911,R04,Studio,192,1,2008,0
P00912,R06,Penthouse,161,5,1972,1
P00913,R01,Penthouse,186,5,2019,1
P00914,R06,Detached House,67,2,1979,1
P00915,R06,Detached House,151,3,2012,0
P00916,R04,Studio,190,1,2003,1
P00917,R05,Apartment,121,5,2015,1
P00918,R04,Apartment,249,4,2011,0
P00919,R02,Detached House,167,1,1997,1
P00920,R05,Studio,127,4,2010,0
P00921,R02,Studio,47,3,1988,0
P00922,R02,Penthouse,80,3,2001,1
P00923,R04,Penthouse,154,2,2019,0
P00924,R06,Apartment,136,5,1974,0
P00925,R03,Detached House,249,3,1989,1
P00926,R03,Apartment,228,5,1970,1
P00927,R01,Studio,78,1,1998,0
P00928,R01,Studio,181,3,2012,0
P00929,R01,Detached House,149,2,1972,1
P00930,R01,Detached House,64,5,1999,1
P00931,R06,Detached House,199,3,1992,1
P00932,R06,Duplex,168,4,2012,1
P00933,R05,Penthouse,60,1,1981,1
P00934,R01,Studio,152,4,1978,1
P00935,R01,Penthouse,215,1,1975,0
P00936,R02,Studio,118,2,1992,0
P00937,R04,Penthouse,125,2,1996,0
P00938,R03,Detached House,66,1,2019,0
P00939,R03,Duplex,89,3,1995,0
P00940,R02,Studio,275,2,1979,1
P00941,R05,Studio,188,3,2007,0
P00942,R02,Duplex,82,4,1973,0
P00943,R01,Detached House,155,1,1988,1
P00944,R05,Apartment,86,4,2005,1
P00945,R06,Penthouse,146,2,1983,0
P00946,R01,Detached House,74,2,2002,1
P00947,R03,Penthouse,188,3,1994,1
P00948,R05,Detached House,176,4,2021,1
P00949,R05,Detached House,192,4,1985,1
P00950,R06,Detached House,146,1,2018,1
P00951,R03,Detached House,108,3,2003,0
P00952,R03,Studio,99,2,2010,1
P00953,R05,Penthouse,91,2,1979,0
P00954,R01,Penthouse,143,5,1971,1
P00955,R02,Apartment,148,1,2009,1
P00956,R04,Penthouse,201,3,1995,0
P00957,R05,Apartment,52,3,1986,1
P00958,R01,Detached House,107,2,2018,0
P00959,R04,Penthouse,244,4,1987,0
P00960,R03,Apartment,259,3,1993,1
P00961,R04,Detached House,263,4,2009,0
P00962,R06,Detached House,113,2,2021,1
P00963,R01,Duplex,72,5,2018,0
P00964,R06,Duplex,87,4,2005,1
P00965,R03,Apartment,71,2,1975,0
P00966,R05,Studio,269,5,1975,0
P00967,R03,Studio,252,5,2007,1
P00968,R02,Detached House,234,3,1997,1
P00969,R05,Penthouse,215,1,1977,0
P00970,R05,Studio,122,3,2007,1
P00971,R01,Detached House,154,4,2020,0
P00972,R05,Apartment,241,2,1973,0
P00973,R05,Detached House,235,1,2014,1
P00974,R03,Detached House,164,3,1988,1
P00975,R06,Detached House,241,5,1991,1
P00976,R04,Detached House,123,2,2008,1
P00977,R03,Apartment,139,3,1983,1
P00978,R01,Duplex,241,1,1978,0
P00979,R05,Apartment,130,4,2022,0
P00980,R02,Studio,220,5,1988,0
P00981,R05,Studio,148,4,1979,1
P00982,R04,Studio,111,3,2007,0
P00983,R03,Duplex,92,1,1981,1
P00984,R01,Apartment,185,3,2011,1
P00985,R05,Detached House,155,5,1973,1
P00986,R01,Apartment,128,1,1997,0
P00987,R03,Penthouse,218,2,1991,0
P00988,R06,Studio,40,5,2021,1
P00989,R06,Duplex,62,3,1998,1
P00990,R06,Detached House,270,1,2019,1
P00991,R06,Detached House,199,1,1983,1
P00992,R04,Duplex,171,3,1995,1
P00993,R02,Studio,43,3,2013,0
P00994,R06,Studio,183,5,1978,1
P00995,R05,Penthouse,144,5,2020,0
P00996,R06,Penthouse,183,3,2011,1
P00997,R04,Detached House,49,3,2006,0
P00998,R01,Studio,172,5,1983,0
P00999,R04,Detached House,178,4,2014,0
P01000,R03,Duplex,109,2,2015,1
P01001,R06,Apartment,53,4,1985,1
P01002,R03,Penthouse,273,4,2001,0
P01003,R02,Detached House,210,2,1973,0
P01004,R01,Studio,189,5,1991,0
P01005,R06,Studio,224,2,1978,0
P01006,R05,Duplex,201,3,2000,1
P01007,R01,Studio,72,3,1999,0
P01008,R03,Detached House,149,4,1998,1
P01009,R03,Detached House,253,5,2006,1
P01010,R03,Duplex,109,2,2019,0
P01011,R06,Penthouse,273,2,1980,1
P01012,R01,Apartment,55,4,1981,1
P01013,R02,Duplex,119,5,1981,1
P01014,R02,Studio,124,5,2020,1
P01015,R02,Apartment,188,4,1975,0
P01016,R06,Studio,82,4,1971,0
P01017,R06,Studio,94,4,1978,1
P01018,R01,Studio,198,5,2011,0
P01019,R04,Duplex,108,1,2001,1
P01020,R02,Penthouse,250,3,2019,1
P01021,R02,Penthouse,248,1,1981,1
P01022,R02,Studio,112,3,1991,0
P01023,R02,Apartment,174,2,1999,0
P01024,R03,Apartment,119,2,1973,1
P01025,R06,Duplex,122,5,2019,0
P01026,R04,Detached House,200,4,2013,0
P01027,R05,Penthouse,110,3,1977,1
P01028,R03,Detached House,75,5,2015,1
P01029,R01,Detached House,102,1,1994,1
P01030,R01,Penthouse,263,4,1988,1
P01031,R02,Duplex,102,1,2021,1
P01032,R02,Penthouse,127,2,1998,1
P01033,R06,Apartment,190,1,1982,1
P01034,R06,Detached House,64,3,2013,0
P01035,R06,Apartment,104,4,2008,0
P01036,R04,Duplex,81,4,1980,0
P01037,R04,Detached House,261,3,2006,1
P01038,R04,Detached House,263,5,2003,1
P01039,R03,Apartment,221,2,1984,1
P01040,R05,Penthouse,99,1,1993,1
P01041,R05,Duplex,187,1,2015,1
P01042,R05,Penthouse,198,1,1979,1
P01043,R04,Studio,248,3,2009,1
P01044,R01,Apartment,77,3,2014,1
P01045,R05,Apartment,216,5,2020,0
P01046,R03,Studio,86,1,1987,1
P01047,R05,Apartment,176,2,1984,1
P01048,R04,Penthouse,251,5,2020,0
P01049,R06,Detached House,54,1,1994,1
P01050,R03,Apartment,75,3,2000,1
P01051,R06,Penthouse,235,1,1997,0
P01052,R06,Duplex,44,3,1997,1
P01053,R02,Apartment,204,5,2003,0
P01054,R03,Duplex,160,2,1992,1
P01055,R04,Penthouse,123,2,1991,1
P01056,R05,Studio,247,3,1991,0
P01057,R05,Apartment,243,4,2005,1
P01058,R06,Duplex,118,5,2014,0
P01059,R03,Apartment,41,1,1999,0
P01060,R04,Duplex,70,3,2006,1
P01061,R03,Studio,65,4,1992,0
P01062,R06,Detached House,275,1,2011,1
P01063,R02,Apartment,183,5,1991,0
P01064,R04,Studio,202,2,1992,0
P01065,R01,Apartment,95,3,1972,1
P01066,R06,Studio,244,5,1984,1
P01067,R03,Studio,213,4,2009,1
P01068,R03,Detached House,220,5,1974,1
P01069,R04,Detached House,152,4,1982,1
P01070,R03,Detached House,207,2,2011,0
P01071,R06,Detached House,170,4,2017,0
P01072,R04,Apartment,132,4,1992,1
P01073,R04,Detached House,182,2,1991,0
P01074,R01,Studio,117,1,1997,1
P01075,R01,Detached House,268,4,2011,1
P01076,R03,Studio,212,3,1995,1
P01077,R06,Duplex,217,4,1979,1
P01078,R06,Studio,212,1,1993,1
P01079,R04,Penthouse,147,3,1983,0
P01080,R04,Detached House,268,5,2006,1
P01081,R03,Duplex,89,5,1977,1
P01082,R02,Detached House,176,5,2002,0
P01083,R01,Penthouse,56,2,1977,1
P01084,R03,Penthouse,110,1,2022,1
P01085,R02,Studio,177,3,2004,0
P01086,R02,Penthouse,157,3,1977,1
P01087,R02,Studio,265,2,2021,1
P01088,R01,Duplex,187,1,2000,0
P01089,R04,Detached House,138,1,2002,1
P01090,R06,Duplex,142,2,1973,0
P01091,R05,Apartment,186,4,1980,0
P01092,R03,Duplex,229,1,2013,0
P01093,R03,Apartment,106,1,1995,1
P01094,R02,Duplex,180,2,2003,0
P01095,R01,Detached House,177,5,2023,0
P01096,R04,Duplex,42,5,1993,1
P01097,R04,Apartment,259,3,1990,1
P01098,R01,Penthouse,176,1,2013,0
P01099,R03,Duplex,98,1,1973,0
P01100,R02,Apartment,192,5,1994,1
P01101,R02,Detached House,202,3,2016,1
P01102,R05,Apartment,259,1,1982,1
P01103,R04,Detached House,48,5,1986,0
P01104,R04,Detached House,139,3,1995,1
P01105,R05,Studio,83,2,1974,1
P01106,R06,Detached House,177,3,1973,0
P01107,R05,Apartment,160,2,1983,0
P01108,R04,Apartment,153,5,2018,0
P01109,R06,Duplex,275,4,1981,0
P01110,R03,Duplex,167,1,2009,0
P01111,R06,Detached House,138,4,1993,1
P01112,R05,Apartment,56,1,2011,1
P01113,R04,Apartment,109,3,1987,1
P01114,R06,Duplex,255,4,2017,0
P01115,R04,Studio,148,1,1990,1
P01116,R05,Studio,258,4,2012,1
P01117,R02,Detached House,167,2,2014,1
P01118,R06,Studio,171,4,1993,1
P01119,R04,Apartment,143,3,2006,1
P01120,R05,Studio,173,1,1976,0
P01121,R03,Penthouse,56,4,1996,1
P01122,R06,Detached House,53,2,1990,1
P01123,R01,Studio,154,5,2021,1
P01124,R01,Studio,183,5,2020,1
P01125,R04,Penthouse,172,1,2012,1
P01126,R05,Apartment,142,4,2021,1
P01127,R05,Apartment,110,2,2022,0
P01128,R03,Duplex,210,4,2011,0
P01129,R04,Detached House,185,3,2002,1
P01130,R04,Detached House,51,2,1981,1
P01131,R06,Studio,148,4,2014,1
P01132,R04,Detached House,210,2,1980,0
P01133,R03,Detached House,228,5,1980,1
P01134,R06,Studio,108,5,2017,0
P01135,R01,Penthouse,261,1,1976,0
P01136,R06,Studio,196,4,1977,0
P01137,R01,Apartment,145,5,1997,0
P01138,R02,Penthouse,190,1,2001,1
P01139,R05,Penthouse,249,4,1972,0
P01140,R05,Studio,94,5,1990,0
P01141,R06,Apartment,76,2,1982,1
P01142,R05,Apartment,145,3,1986,0
P01143,R04,Studio,60,4,1979,0
P01144,R03,Studio,240,2,2006,0
P01145,R01,Duplex,272,2,1995,0
P01146,R01,Detached House,185,2,2021,1
P01147,R02,Duplex,275,2,1970,0
P01148,R01,Detached House,56,4,2011,0
P01149,R04,Studio,191,2,2019,0
P01150,R05,Apartment,146,2,1996,0
P01151,R06,Duplex,106,5,2007,0
P01152,R03,Detached House,114,3,1993,0
P01153,R06,Duplex,170,5,2002,0
P01154,R06,Detached House,193,4,2019,0
P01155,R06,Studio,79,5,1998,1
P01156,R03,Penthouse,187,1,2001,0
P01157,R02,Apartment,262,5,2023,0
P01158,R06,Apartment,42,5,1996,1
P01159,R02,Studio,250,1,1979,0
P01160,R03,Apartment,185,2,2006,1
P01161,R01,Detached House,122,3,2007,0
P01162,R05,Penthouse,216,3,1982,1
P01163,R04,Detached House,188,4,2009,1
P01164,R01,Apartment,224,4,1973,0
P01165,R02,Studio,59,2,1987,0
P01166,R04,Studio,54,4,2016,1
P01167,R04,Studio,194,5,2003,1
P01168,R05,Duplex,112,3,2002,0
P01169,R02,Apartment,97,5,2003,1
P01170,R06,Penthouse,141,4,1978,0
P01171,R03,Detached House,214,5,2021,1
P01172,R05,Duplex,83,5,1986,0
P01173,R02,Penthouse,273,1,2012,1
P01174,R01,Apartment,140,5,2023,0
P01175,R01,Studio,76,1,1983,1
P01176,R03,Apartment,57,5,2004,0
P01177,R06,Detached House,245,5,1972,1
P01178,R01,Studio,67,2,2004,1
P01179,R03,Penthouse,140,1,1993,1
P01180,R01,Studio,200,3,1973,1
P01181,R06,Penthouse,163,2,2006,1
P01182,R05,Duplex,103,3,2022,1
P01183,R05,Penthouse,65,1,1974,0
P01184,R05,Apartment,210,1,2018,1
P01185,R04,Apartment,157,3,2015,1
P01186,R05,Studio,51,4,1999,1
P01187,R01,Apartment,83,2,2018,1
P01188,R06,Detached House,175,2,1986,1
P01189,R05,Apartment,80,1,2008,1
P01190,R05,Detached House,133,2,2007,1
P01191,R03,Penthouse,69,2,2001,1
P01192,R05,Apartment,231,2,2015,0
P01193,R03,Penthouse,191,2,2017,1
P01194,R01,Duplex,228,2,2012,1
P01195,R06,Apartment,52,4,2001,1
P01196,R02,Apartment,130,2,2022,1
P01197,R01,Detached House,104,4,2000,1
P01198,R04,Duplex,189,4,2004,1
P01199,R02,Penthouse,237,4,1980,1
P01200,R06,Studio,94,3,1987,1
P01201,R03,Apartment,224,5,2018,1
P01202,R01,Studio,179,2,1996,1
P01203,R06,Apartment,237,5,1997,0
P01204,R04,Studio,59,2,2014,1
P01205,R02,Apartment,277,1,1987,1
P01206,R05,Duplex,144,5,1984,1
P01207,R04,Detached House,107,5,1970,1
P01208,R01,Apartment,83,1,1982,0
P01209,R05,Detached House,276,3,1997,0
P01210,R03,Apartment,252,3,2009,1
P01211,R05,Apartment,71,2,1987,1
P01212,R06,Penthouse,146,3,1993,1
P01213,R04,Detached House,216,4,1981,0
P01214,R05,Detached House,181,3,2014,1
P01215,R02,Duplex,85,3,1998,1
P01216,R02,Apartment,126,5,1977,1
P01217,R03,Detached House,128,2,2002,0
P01218,R06,Apartment,109,4,1988,0
P01219,R04,Penthouse,270,2,2016,1
P01220,R03,Detached House,88,5,1984,1
P01221,R05,Apartment,209,2,2016,1
P01222,R06,Apartment,258,5,2007,0
P01223,R06,Duplex,230,4,1977,0
P01224,R02,Apartment,231,2,2011,0
P01225,R05,Studio,78,4,2008,1
P01226,R04,Duplex,71,2,1994,0
P01227,R03,Penthouse,227,2,1978,1
P01228,R03,Detached House,219,2,1995,1
P01229,R01,Studio,218,4,2002,1
P01230,R02,Duplex,140,2,1977,0
P01231,R04,Apartment,165,3,1988,1
P01232,R06,Duplex,43,3,2007,1
P01233,R06,Duplex,109,1,1999,0
P01234,R02,Apartment,166,2,2023,1
P01235,R05,Apartment,70,2,1981,0
P01236,R01,Studio,71,2,2012,1
P01237,R05,Apartment,50,5,1992,1
P01238,R03,Studio,90,2,1982,0
P01239,R03,Apartment,278,3,2021,1
P01240,R05,Studio,207,4,2003,1
P01241,R03,Detached House,267,4,1998,1
P01242,R05,Apartment,101,4,1985,0
P01243,R04,Apartment,183,3,2017,0
P01244,R06,Apartment,254,5,1971,1
P01245,R04,Penthouse,124,5,1976,1
P01246,R02,Apartment,197,2,1979,1
P01247,R05,Duplex,206,1,2005,0
P01248,R03,Studio,239,2,1975,1
P01249,R04,Detached House,272,5,2013,0
P01250,R01,Duplex,187,5,1980,1
P01251,R01,Studio,179,4,2006,0
P01252,R04,Studio,248,4,2012,0
P01253,R02,Apartment,204,2,2017,0
P01254,R06,Studio,126,3,1985,1
P01255,R06,Penthouse,191,1,1974,0
P01256,R05,Duplex,171,3,2010,1
P01257,R05,Penthouse,94,1,1994,0
P01258,R04,Studio,163,1,2021,1
P01259,R01,Detached House,189,5,1980,1
P01260,R03,Apartment,256,5,2001,0
P01261,R03,Apartment,179,4,1976,0
P01262,R06,Duplex,79,4,1996,0
P01263,R02,Studio,277,2,1970,1
P01264,R03,Detached House,178,3,2010,1
P01265,R03,Studio,108,4,2002,0
P01266,R01,Apartment,221,3,1975,1
P01267,R01,Apartment,132,2,1996,1
P01268,R03,Penthouse,128,2,1993,1
P01269,R01,Studio,241,5,2006,1
P01270,R01,Duplex,248,2,1996,1
P01271,R03,Studio,165,5,1994,1
P01272,R02,Detached House,129,4,2014,1
P01273,R04,Duplex,247,5,1998,0
P01274,R01,Penthouse,81,3,2013,1
P01275,R02,Duplex,219,2,2017,1
P01276,R03,Apartment,180,1,2015,1
P01277,R06,Apartment,244,3,2021,0
P01278,R04,Apartment,140,2,2007,1
P01279,R06,Duplex,239,1,2000,0
P01280,R03,Apartment,43,5,1998,1
P01281,R03,Duplex,221,5,1981,0
P01282,R03,Studio,56,2,2014,1
P01283,R06,Apartment,194,4,2007,1
P01284,R06,Duplex,86,3,2017,0
P01285,R06,Apartment,271,3,2007,0
P01286,R05,Apartment,224,4,1995,0
P01287,R04,Penthouse,65,3,1985,1
P01288,R04,Detached House,254,5,2023,1
P01289,R06,Detached House,100,1,2009,1
P01290,R02,Apartment,170,4,2017,1
P01291,R03,Studio,60,5,2001,1
P01292,R06,Apartment,65,5,1997,0
P01293,R03,Detached House,97,1,1971,1
P01294,R02,Penthouse,168,1,1973,1
P01295,R04,Penthouse,170,4,2008,0
P01296,R02,Studio,245,5,1982,1
P01297,R06,Detached House,79,5,1974,1
P01298,R06,Studio,219,5,2011,1
P01299,R02,Studio,41,1,2003,1
P01300,R04,Detached House,109,3,1976,0
P01301,R06,Detached House,82,4,1996,1
P01302,R05,Penthouse,69,4,1995,0
P01303,R02,Penthouse,180,4,1970,1
P01304,R04,Apartment,256,2,2002,0
P01305,R04,Penthouse,200,3,1991,1
P01306,R04,Apartment,244,3,2017,1
P01307,R01,Penthouse,181,5,1976,0
P01308,R02,Duplex,52,2,2015,0
P01309,R06,Penthouse,123,2,1970,0
P01310,R02,Studio,237,1,2011,1
P01311,R02,Detached House,50,1,2012,1
P01312,R02,Duplex,63,5,1992,0
P01313,R02,Duplex,240,5,1985,1
P01314,R01,Duplex,55,2,1977,1
P01315,R03,Studio,270,4,1988,1
P01316,R06,Studio,222,3,2006,1
P01317,R01,Penthouse,199,5,2009,1
P01318,R02,Duplex,168,2,1979,1
P01319,R01,Duplex,61,5,1970,0
P01320,R04,Penthouse,139,2,2000,0
P01321,R02,Apartment,233,4,2001,1
P01322,R05,Apartment,256,2,2022,1
P01323,R04,Detached House,147,4,2011,0
P01324,R05,Apartment,241,2,1999,1
P01325,R04,Detached House,226,5,2001,0
P01326,R03,Apartment,53,4,2004,1
P01327,R06,Duplex,188,2,1994,1
P01328,R03,Apartment,187,5,2006,1
